trials,success_rate,failure_rate,avg_steps_success,avg_steps_failure,avg_time_success_ms,avg_time_failure_ms
50,8.00,92.00,3.50,3.26,0.501,0.600
100,9.00,91.00,4.00,3.04,0.553,0.564
200,15.00,85.00,4.27,3.14,0.589,0.607
500,14.60,85.40,4.10,3.03,0.574,0.571
1000,14.20,85.80,3.97,3.06,0.553,0.582
1500,15.53,84.47,4.09,3.02,0.598,0.599
